@relation weather.symbolic

@attribute MaxwellHouseRegularGroundCoffee {0, 1}
@attribute BrewRiteConeStyleCoffeeFilters {0, 1}
@attribute LiptonRegularTeaBags {0, 1}
@attribute BigelowAppleCinnamonHerbTea {0, 1}
@attribute KraftMacaroniCheese {0, 1}
@attribute MazolaCornOil {0, 1}
@attribute PillsburyCakeMix {0, 1}
@attribute JiffyMuffinMix {0, 1}
@attribute PillsburyBiscuits {0, 1}
@attribute SkippyPeanutButter {0, 1}
@attribute WelchesGrapeJelly {0, 1}
@attribute SmuckersStrawberryJelly {0, 1}
@attribute YoHoPotatoChips {0, 1}
@attribute TostitosCornChips {0, 1}
@attribute OldElPasoSalsa {0, 1}
@attribute OnionDip {0, 1}
@attribute NabiscoTriscuitWheatWafers {0, 1}
@attribute NabiscoChipsAhoyCookies {0, 1}
@attribute OreosCookies {0, 1}
@attribute KraftSharpCheddarCheese {0, 1}
@attribute KraftMontereyJackCheese {0, 1}
@attribute KraftGratedMontereyJackCheese {0, 1}
@attribute PurinaCatChow {0, 1}
@attribute FancyFeastCatFood {0, 1}
@attribute ScoopAwayFreshScentCatLitter {0, 1}
@attribute MilkBoneDogBiscuits {0, 1}
@attribute PurinaDogChow {0, 1}
@attribute KenlRationFlavorTipsDogFood {0, 1}
@attribute BountyPackWhitePaperTowels {0, 1}
@attribute ScottPackWhiteBathTissue {0, 1}
@attribute PuffsPlusFacialTissue {0, 1}
@attribute TideUltraLiquidDetergent {0, 1}
@attribute CloroxLiquidBleach {0, 1}
@attribute RedPackTomatoPuree {0, 1}
@attribute DelMonteCorn {0, 1}
@attribute BMBakedBeans {0, 1}
@attribute DelMonteFrenchStyleGreenBeans {0, 1}
@attribute LeSeurBabyPeas {0, 1}
@attribute CokeLiter {0, 1}
@attribute PepsiLiter {0, 1}
@attribute WheatBread {0, 1}
@attribute WhiteBread {0, 1}
@attribute RyeBread {0, 1}
@attribute MentadentToothbrush {0, 1}
@attribute JohnsonJohnsonSafetySwabs {0, 1}
@attribute Maalox {0, 1}
@attribute Bananas {0, 1}
@attribute Apples {0, 1}
@attribute Oranges {0, 1}
@attribute Cornears {0, 1}
@attribute Broccoli {0, 1}
@attribute Tomato {0, 1}
@attribute Avocado {0, 1}
@attribute Cucumber {0, 1}
@attribute Lettuce {0, 1}
@attribute Celery {0, 1}
@attribute RedPepper {0, 1}
@attribute Potatoslb {0, 1}
@attribute MinuteRiceInstantWhiteRice {0, 1}
@attribute MuellersSpaghetti {0, 1}
@attribute RaguOldWorldMarinaSauce {0, 1}
@attribute NewmansOwnTomatoSauce {0, 1}
@attribute BumbleBeeChunkTuna {0, 1}
@attribute PerdueChickenBreasts {0, 1}
@attribute PerdueRoasterChicken {0, 1}
@attribute LondonBroil {0, 1}
@attribute Hamburger {0, 1}
@attribute NewYorkSirloin {0, 1}
@attribute Bacon {0, 1}
@attribute FijiArtesianWater {0, 1}
@attribute KodakGoldMax {0, 1}
@attribute RealLemonPureLemonJuice {0, 1}
@attribute DolePackPineappleJuice {0, 1}
@attribute OceanSprayWhiteGrapefruitJuice {0, 1}
@attribute TropicanOrangeJuice {0, 1}
@attribute AppleEveAppleJuice {0, 1}
@attribute HersheyspackChocolateMilk {0, 1}
@attribute ParmalatRealLowFatMilk {0, 1}
@attribute HoodLowFatMilk {0, 1}
@attribute KelloggsRiceKrispies {0, 1}
@attribute CinnaCrunchPebbles {0, 1}
@attribute GeneralMillsCheerios {0, 1}
@attribute CocoaPuffs {0, 1}
@attribute GeneralMillsMultiBranChex {0, 1}
@attribute GeneralMillsWheatChex {0, 1}
@attribute QuakerLife {0, 1}
@attribute FarberwareCookieCutters {0, 1}
@attribute HiddenValleyRanchDressing {0, 1}
@attribute NewmansOwnItalianDressing {0, 1}
@attribute SudafedHourCaplets {0, 1}
@attribute TylenolInfantLiquid {0, 1}
@attribute PampersDiapers {0, 1}
@attribute CarnationPowderBabyFormula {0, 1}
@attribute DovePackBeautySoap {0, 1}
@attribute OilofOlayPackSoapBars {0, 1}
@attribute HerbalEssencessBodyWash {0, 1}
@attribute GlideDentalFloss {0, 1}
@attribute Cigarettes {0, 1}
@attribute PillsburyLemonFrosting {0, 1}
@attribute LargeEggs {0, 1}

@data
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1
0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1
1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0
0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
